municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
HOSTOTIPAQUILLO,1,0,0,0,0,0,1,2016
MAGDALENA,5,0,0,0,0,0,5,2016
SAN JUANITO DE ESCOBEDO,1,0,0,0,0,0,1,2016
SAN MARCOS,2,0,0,0,0,0,2,2016
SAN MARTÍN HIDALGO,8,0,0,0,6,2,0,2016
TALA,7,0,0,0,0,0,7,2016
TEQUILA,27,1,6,5,3,2,10,2016
TEUCHITLÁN,4,0,0,0,0,0,4,2016
ACATLAN DE JUAREZ ,1,0,0,0,0,0,1,2016
CUQUÍO,2,0,2,0,0,0,0,2016
EL SALTO,4,0,3,1,0,0,0,2016
GUADALAJARA,262,35,67,42,90,17,11,2016
IXTLAHUACÁN DE LOS MEMBRILLOS,3,0,1,0,0,1,1,2016
IXTLAHUACÁN DEL RÍO,1,0,0,0,0,0,1,2016
SAN PEDRO TLAQUEPAQUE,21,11,2,8,0,0,0,2016
TLAJOMULCO DE ZÚÑIGA,8,1,1,2,0,0,4,2016
TONALÁ,12,1,0,8,3,0,0,2016
VILLA CORONA,8,0,0,0,0,0,8,2016
ZAPOPAN,82,11,29,16,2,0,24,2016
ZAPOTLANEJO,9,0,1,7,1,0,0,2016
ACATIC,2,0,0,0,0,0,2,2017
ACATLÁN DE JUÁREZ,1,0,0,0,0,0,1,2017
AHUALULCO DE MERCADO,8,0,0,0,0,0,8,2017
AMACUECA,1,0,0,0,0,0,1,2017
AMATITÁN,2,0,0,0,0,2,0,2017
AMECA,6,0,1,2,1,0,2,2017
ARANDAS,11,1,2,1,3,4,0,2017
ATEMAJAC DE BRIZUELA,9,1,0,1,4,0,3,2017
ATENGO,1,0,0,0,0,0,1,2017
ATENGUILLO,6,0,0,0,0,0,6,2017
ATOTONILCO EL ALTO,9,0,1,2,0,0,6,2017
ATOYAC,5,3,0,0,1,1,0,2017
AUTLÁN DE NAVARRO,12,0,1,3,6,2,0,2017
AYOTLÁN,2,0,0,2,0,0,0,2017
AYUTLA,6,0,0,0,0,0,6,2017
